timestamp,site_id,solar_generation_kwh,wind_generation_kwh,energy_consumption_kwh,battery_soc,battery_charge_kwh,battery_discharge_kwh,grid_import_kwh,grid_export_kwh
2026-01-01T00:00:00+00:00,site_001,0.0,20.14,23.13,47.0,0.0,2.99,0.0,0.0
2026-01-01T01:00:00+00:00,site_001,0.0,16.24,24.12,39.1,0.0,7.88,0.0,0.0
2026-01-01T02:00:00+00:00,site_001,0.0,20.11,26.38,32.8,0.0,6.27,0.0,0.0
2026-01-01T03:00:00+00:00,site_001,0.0,20.48,23.43,29.8,0.0,2.95,0.0,0.0
2026-01-01T04:00:00+00:00,site_001,0.0,14.22,23.15,20.9,0.0,8.93,0.0,0.0
2026-01-01T05:00:00+00:00,site_001,0.0,10.38,25.53,10.0,0.0,10.9,4.25,0.0
2026-01-01T06:00:00+00:00,site_001,0.0,8.24,26.25,10.0,0.0,0.0,18.01,0.0
2026-01-01T07:00:00+00:00,site_001,13.76,6.51,46.95,10.0,0.0,0.0,26.68,0.0
2026-01-01T08:00:00+00:00,site_001,28.57,2.56,48.03,10.0,0.0,0.0,16.9,0.0
2026-01-01T09:00:00+00:00,site_001,39.22,4.35,44.78,10.0,0.0,0.0,1.21,0.0
2026-01-01T10:00:00+00:00,site_001,51.41,3.12,35.46,29.1,19.07,0.0,0.0,0.0
2026-01-01T11:00:00+00:00,site_001,44.87,7.48,38.02,43.4,14.33,0.0,0.0,0.0
2026-01-01T12:00:00+00:00,site_001,57.11,6.05,37.68,63.4,20.0,0.0,0.0,5.48
2026-01-01T13:00:00+00:00,site_001,57.57,2.79,37.76,83.4,20.0,0.0,0.0,2.6
2026-01-01T14:00:00+00:00,site_001,49.75,5.94,39.31,99.8,16.38,0.0,0.0,0.0
2026-01-01T15:00:00+00:00,site_001,37.94,7.99,35.23,100.0,0.2,0.0,0.0,10.5
2026-01-01T16:00:00+00:00,site_001,24.21,5.39,35.4,94.2,0.0,5.8,0.0,0.0
2026-01-01T17:00:00+00:00,site_001,12.55,5.32,52.89,74.2,0.0,20.0,15.02,0.0
2026-01-01T18:00:00+00:00,site_001,0.0,9.9,53.35,54.2,0.0,20.0,23.45,0.0
2026-01-01T19:00:00+00:00,site_001,0.0,10.29,52.83,34.2,0.0,20.0,22.54,0.0
2026-01-01T20:00:00+00:00,site_001,0.0,19.37,54.74,14.2,0.0,20.0,15.37,0.0
2026-01-01T21:00:00+00:00,site_001,0.0,17.64,52.36,10.0,0.0,4.2,30.52,0.0
2026-01-01T22:00:00+00:00,site_001,0.0,20.04,23.82,10.0,0.0,0.0,3.78,0.0
2026-01-01T23:00:00+00:00,site_001,0.0,17.29,27.95,10.0,0.0,0.0,10.66,0.0
2026-01-02T00:00:00+00:00,site_001,0.0,20.15,25.78,10.0,0.0,0.0,5.63,0.0
2026-01-02T01:00:00+00:00,site_001,0.0,20.34,27.21,10.0,0.0,0.0,6.87,0.0
2026-01-02T02:00:00+00:00,site_001,0.0,20.51,24.15,10.0,0.0,0.0,3.64,0.0
2026-01-02T03:00:00+00:00,site_001,0.0,11.87,24.58,10.0,0.0,0.0,12.71,0.0
2026-01-02T04:00:00+00:00,site_001,0.0,12.68,24.05,10.0,0.0,0.0,11.37,0.0
2026-01-02T05:00:00+00:00,site_001,0.0,17.62,27.38,10.0,0.0,0.0,9.76,0.0
2026-01-02T06:00:00+00:00,site_001,0.0,12.8,24.98,10.0,0.0,0.0,12.18,0.0
2026-01-02T07:00:00+00:00,site_001,15.2,8.9,45.32,10.0,0.0,0.0,21.22,0.0
2026-01-02T08:00:00+00:00,site_001,24.35,8.11,45.31,10.0,0.0,0.0,12.85,0.0
2026-01-02T09:00:00+00:00,site_001,38.02,9.92,46.0,11.9,1.94,0.0,0.0,0.0
2026-01-02T10:00:00+00:00,site_001,41.82,9.73,37.55,25.9,14.0,0.0,0.0,0.0
2026-01-02T11:00:00+00:00,site_001,44.78,0.0,35.55,35.1,9.23,0.0,0.0,0.0
2026-01-02T12:00:00+00:00,site_001,54.41,6.67,37.11,55.1,20.0,0.0,0.0,3.97
2026-01-02T13:00:00+00:00,site_001,44.39,2.82,39.98,62.3,7.23,0.0,0.0,0.0
2026-01-02T14:00:00+00:00,site_001,45.84,9.47,39.3,78.3,16.01,0.0,0.0,0.0
2026-01-02T15:00:00+00:00,site_001,31.94,8.15,38.41,80.0,1.68,0.0,0.0,0.0
2026-01-02T16:00:00+00:00,site_001,26.53,5.17,38.2,73.5,0.0,6.5,0.0,0.0
2026-01-02T17:00:00+00:00,site_001,12.08,8.66,53.77,53.5,0.0,20.0,13.03,0.0
2026-01-02T18:00:00+00:00,site_001,0.0,15.01,52.82,33.5,0.0,20.0,17.81,0.0
2026-01-02T19:00:00+00:00,site_001,0.0,13.2,52.39,13.5,0.0,20.0,19.19,0.0
2026-01-02T20:00:00+00:00,site_001,0.0,19.13,55.85,10.0,0.0,3.5,33.22,0.0
2026-01-02T21:00:00+00:00,site_001,0.0,14.54,54.69,10.0,0.0,0.0,40.15,0.0
2026-01-02T22:00:00+00:00,site_001,0.0,18.83,23.76,10.0,0.0,0.0,4.93,0.0
2026-01-02T23:00:00+00:00,site_001,0.0,21.12,25.7,10.0,0.0,0.0,4.58,0.0
2026-01-03T00:00:00+00:00,site_001,0.0,21.54,21.9,10.0,0.0,0.0,0.36,0.0
2026-01-03T01:00:00+00:00,site_001,0.0,13.5,20.87,10.0,0.0,0.0,7.37,0.0
2026-01-03T02:00:00+00:00,site_001,0.0,12.94,23.9,10.0,0.0,0.0,10.96,0.0
2026-01-03T03:00:00+00:00,site_001,0.0,20.34,23.41,10.0,0.0,0.0,3.07,0.0
2026-01-03T04:00:00+00:00,site_001,0.0,13.08,19.54,10.0,0.0,0.0,6.46,0.0
2026-01-03T05:00:00+00:00,site_001,0.0,16.97,23.98,10.0,0.0,0.0,7.01,0.0
2026-01-03T06:00:00+00:00,site_001,0.0,11.11,19.6,10.0,0.0,0.0,8.49,0.0
2026-01-03T07:00:00+00:00,site_001,14.6,11.97,33.54,10.0,0.0,0.0,6.97,0.0
2026-01-03T08:00:00+00:00,site_001,26.06,8.0,34.23,10.0,0.0,0.0,0.17,0.0
2026-01-03T09:00:00+00:00,site_001,41.07,5.18,33.96,22.3,12.29,0.0,0.0,0.0
2026-01-03T10:00:00+00:00,site_001,45.98,7.05,28.06,42.3,20.0,0.0,0.0,4.97
2026-01-03T11:00:00+00:00,site_001,47.98,8.96,30.3,62.3,20.0,0.0,0.0,6.64
2026-01-03T12:00:00+00:00,site_001,51.57,3.93,27.66,82.3,20.0,0.0,0.0,7.84
2026-01-03T13:00:00+00:00,site_001,46.72,2.39,29.99,100.0,17.7,0.0,0.0,1.42
2026-01-03T14:00:00+00:00,site_001,41.96,1.96,27.4,100.0,0.0,0.0,0.0,16.52
2026-01-03T15:00:00+00:00,site_001,38.51,3.24,31.58,100.0,0.0,0.0,0.0,10.17
2026-01-03T16:00:00+00:00,site_001,28.95,3.21,28.24,100.0,0.0,0.0,0.0,3.92
2026-01-03T17:00:00+00:00,site_001,14.24,6.45,38.44,82.2,0.0,17.75,0.0,0.0
2026-01-03T18:00:00+00:00,site_001,0.0,11.96,40.14,62.2,0.0,20.0,8.18,0.0
2026-01-03T19:00:00+00:00,site_001,0.0,16.04,41.81,42.2,0.0,20.0,5.77,0.0
2026-01-03T20:00:00+00:00,site_001,0.0,11.9,38.26,22.2,0.0,20.0,6.36,0.0
2026-01-03T21:00:00+00:00,site_001,0.0,15.86,39.89,10.0,0.0,12.2,11.83,0.0
2026-01-03T22:00:00+00:00,site_001,0.0,17.42,22.9,10.0,0.0,0.0,5.48,0.0
2026-01-03T23:00:00+00:00,site_001,0.0,20.23,24.17,10.0,0.0,0.0,3.94,0.0
2026-01-04T00:00:00+00:00,site_001,0.0,14.73,21.26,10.0,0.0,0.0,6.53,0.0
2026-01-04T01:00:00+00:00,site_001,0.0,16.89,23.56,10.0,0.0,0.0,6.67,0.0
2026-01-04T02:00:00+00:00,site_001,0.0,15.23,20.2,10.0,0.0,0.0,4.97,0.0
2026-01-04T03:00:00+00:00,site_001,0.0,16.04,21.36,10.0,0.0,0.0,5.32,0.0
2026-01-04T04:00:00+00:00,site_001,0.0,12.79,20.5,10.0,0.0,0.0,7.71,0.0
2026-01-04T05:00:00+00:00,site_001,0.0,17.42,21.47,10.0,0.0,0.0,4.05,0.0
2026-01-04T06:00:00+00:00,site_001,0.0,11.75,19.5,10.0,0.0,0.0,7.75,0.0
2026-01-04T07:00:00+00:00,site_001,15.53,12.67,37.74,10.0,0.0,0.0,9.54,0.0
2026-01-04T08:00:00+00:00,site_001,29.45,10.99,33.73,16.7,6.71,0.0,0.0,0.0
2026-01-04T09:00:00+00:00,site_001,36.97,3.08,34.91,21.8,5.14,0.0,0.0,0.0
2026-01-04T10:00:00+00:00,site_001,39.73,3.54,31.98,33.1,11.29,0.0,0.0,0.0
2026-01-04T11:00:00+00:00,site_001,47.31,6.85,29.33,53.1,20.0,0.0,0.0,4.83
2026-01-04T12:00:00+00:00,site_001,51.35,8.32,32.03,73.1,20.0,0.0,0.0,7.64
2026-01-04T13:00:00+00:00,site_001,51.52,6.19,27.82,93.1,20.0,0.0,0.0,9.89
2026-01-04T14:00:00+00:00,site_001,42.83,9.44,29.95,100.0,6.9,0.0,0.0,15.42
2026-01-04T15:00:00+00:00,site_001,37.57,8.43,27.34,100.0,0.0,0.0,0.0,18.66
2026-01-04T16:00:00+00:00,site_001,26.88,7.53,31.31,100.0,0.0,0.0,0.0,3.1
2026-01-04T17:00:00+00:00,site_001,12.26,13.92,38.18,88.0,0.0,12.0,0.0,0.0
2026-01-04T18:00:00+00:00,site_001,0.0,12.2,41.15,68.0,0.0,20.0,8.95,0.0
2026-01-04T19:00:00+00:00,site_001,0.0,10.54,38.37,48.0,0.0,20.0,7.83,0.0
2026-01-04T20:00:00+00:00,site_001,0.0,18.9,39.01,28.0,0.0,20.0,0.11,0.0
2026-01-04T21:00:00+00:00,site_001,0.0,17.5,40.87,10.0,0.0,18.0,5.37,0.0
2026-01-04T22:00:00+00:00,site_001,0.0,16.94,22.17,10.0,0.0,0.0,5.23,0.0
2026-01-04T23:00:00+00:00,site_001,0.0,18.72,23.92,10.0,0.0,0.0,5.2,0.0
2026-01-05T00:00:00+00:00,site_001,0.0,15.79,26.58,10.0,0.0,0.0,10.79,0.0
2026-01-05T01:00:00+00:00,site_001,0.0,15.88,24.98,10.0,0.0,0.0,9.1,0.0
2026-01-05T02:00:00+00:00,site_001,0.0,19.46,24.5,10.0,0.0,0.0,5.04,0.0
2026-01-05T03:00:00+00:00,site_001,0.0,14.72,26.76,10.0,0.0,0.0,12.04,0.0
2026-01-05T04:00:00+00:00,site_001,0.0,10.73,25.29,10.0,0.0,0.0,14.56,0.0
2026-01-05T05:00:00+00:00,site_001,0.0,18.18,27.98,10.0,0.0,0.0,9.8,0.0
2026-01-05T06:00:00+00:00,site_001,0.0,8.38,24.33,10.0,0.0,0.0,15.95,0.0
2026-01-05T07:00:00+00:00,site_001,15.27,13.12,48.4,10.0,0.0,0.0,20.01,0.0
2026-01-05T08:00:00+00:00,site_001,25.27,4.08,48.17,10.0,0.0,0.0,18.82,0.0
2026-01-05T09:00:00+00:00,site_001,39.28,7.06,48.94,10.0,0.0,0.0,2.6,0.0
2026-01-05T10:00:00+00:00,site_001,47.47,0.0,39.09,18.4,8.38,0.0,0.0,0.0
2026-01-05T11:00:00+00:00,site_001,47.8,5.64,39.69,32.1,13.75,0.0,0.0,0.0
2026-01-05T12:00:00+00:00,site_001,47.01,0.0,35.54,43.6,11.47,0.0,0.0,0.0
2026-01-05T13:00:00+00:00,site_001,51.48,1.73,38.02,58.8,15.19,0.0,0.0,0.0
2026-01-05T14:00:00+00:00,site_001,48.29,1.79,38.17,70.7,11.91,0.0,0.0,0.0
2026-01-05T15:00:00+00:00,site_001,34.62,5.83,39.53,71.6,0.92,0.0,0.0,0.0
2026-01-05T16:00:00+00:00,site_001,28.85,3.42,37.12,66.8,0.0,4.85,0.0,0.0
2026-01-05T17:00:00+00:00,site_001,12.72,4.34,55.36,46.8,0.0,20.0,18.3,0.0
2026-01-05T18:00:00+00:00,site_001,0.0,8.87,55.21,26.8,0.0,20.0,26.34,0.0
2026-01-05T19:00:00+00:00,site_001,0.0,13.71,53.64,10.0,0.0,16.8,23.13,0.0
2026-01-05T20:00:00+00:00,site_001,0.0,10.1,51.88,10.0,0.0,0.0,41.78,0.0
2026-01-05T21:00:00+00:00,site_001,0.0,20.38,56.02,10.0,0.0,0.0,35.64,0.0
2026-01-05T22:00:00+00:00,site_001,0.0,18.2,27.17,10.0,0.0,0.0,8.97,0.0
2026-01-05T23:00:00+00:00,site_001,0.0,19.32,23.74,10.0,0.0,0.0,4.42,0.0
2026-01-06T00:00:00+00:00,site_001,0.0,15.02,24.54,10.0,0.0,0.0,9.52,0.0
2026-01-06T01:00:00+00:00,site_001,0.0,22.48,26.98,10.0,0.0,0.0,4.5,0.0
2026-01-06T02:00:00+00:00,site_001,0.0,21.35,27.49,10.0,0.0,0.0,6.14,0.0
2026-01-06T03:00:00+00:00,site_001,0.0,13.65,24.25,10.0,0.0,0.0,10.6,0.0
2026-01-06T04:00:00+00:00,site_001,0.0,11.03,26.9,10.0,0.0,0.0,15.87,0.0
2026-01-06T05:00:00+00:00,site_001,0.0,17.03,25.03,10.0,0.0,0.0,8.0,0.0
2026-01-06T06:00:00+00:00,site_001,0.0,7.8,27.65,10.0,0.0,0.0,19.85,0.0
2026-01-06T07:00:00+00:00,site_001,15.0,14.07,48.05,10.0,0.0,0.0,18.98,0.0
2026-01-06T08:00:00+00:00,site_001,29.11,2.75,47.68,10.0,0.0,0.0,15.82,0.0
2026-01-06T09:00:00+00:00,site_001,35.34,10.25,48.01,10.0,0.0,0.0,2.42,0.0
2026-01-06T10:00:00+00:00,site_001,50.2,7.86,36.33,30.0,20.0,0.0,0.0,1.73
2026-01-06T11:00:00+00:00,site_001,54.87,0.09,39.36,45.6,15.6,0.0,0.0,0.0
2026-01-06T12:00:00+00:00,site_001,57.88,0.97,39.08,65.4,19.77,0.0,0.0,0.0
2026-01-06T13:00:00+00:00,site_001,50.14,2.06,38.98,78.6,13.22,0.0,0.0,0.0
2026-01-06T14:00:00+00:00,site_001,41.93,0.0,35.97,84.6,5.96,0.0,0.0,0.0
2026-01-06T15:00:00+00:00,site_001,35.3,9.59,39.83,89.7,5.06,0.0,0.0,0.0
2026-01-06T16:00:00+00:00,site_001,24.59,8.91,37.0,86.2,0.0,3.5,0.0,0.0
2026-01-06T17:00:00+00:00,site_001,15.46,9.67,56.2,66.2,0.0,20.0,11.07,0.0
2026-01-06T18:00:00+00:00,site_001,0.0,15.95,52.39,46.2,0.0,20.0,16.44,0.0
2026-01-06T19:00:00+00:00,site_001,0.0,17.82,52.83,26.2,0.0,20.0,15.01,0.0
2026-01-06T20:00:00+00:00,site_001,0.0,11.08,53.67,10.0,0.0,16.2,26.39,0.0
2026-01-06T21:00:00+00:00,site_001,0.0,18.84,53.07,10.0,0.0,0.0,34.23,0.0
2026-01-06T22:00:00+00:00,site_001,0.0,18.81,25.56,10.0,0.0,0.0,6.75,0.0
2026-01-06T23:00:00+00:00,site_001,0.0,17.35,25.88,10.0,0.0,0.0,8.53,0.0
2026-01-07T00:00:00+00:00,site_001,0.0,16.3,26.54,10.0,0.0,0.0,10.24,0.0
2026-01-07T01:00:00+00:00,site_001,0.0,13.51,27.63,10.0,0.0,0.0,14.12,0.0
2026-01-07T02:00:00+00:00,site_001,0.0,18.13,26.6,10.0,0.0,0.0,8.47,0.0
2026-01-07T03:00:00+00:00,site_001,0.0,18.97,26.35,10.0,0.0,0.0,7.38,0.0
2026-01-07T04:00:00+00:00,site_001,0.0,13.64,23.35,10.0,0.0,0.0,9.71,0.0
2026-01-07T05:00:00+00:00,site_001,0.0,14.83,24.65,10.0,0.0,0.0,9.82,0.0
2026-01-07T06:00:00+00:00,site_001,0.0,14.73,26.6,10.0,0.0,0.0,11.87,0.0
2026-01-07T07:00:00+00:00,site_001,12.81,7.4,46.04,10.0,0.0,0.0,25.83,0.0
2026-01-07T08:00:00+00:00,site_001,25.52,5.46,44.64,10.0,0.0,0.0,13.66,0.0
2026-01-07T09:00:00+00:00,site_001,36.28,10.35,47.39,10.0,0.0,0.0,0.76,0.0
2026-01-07T10:00:00+00:00,site_001,50.7,5.91,36.5,30.0,20.0,0.0,0.0,0.11
2026-01-07T11:00:00+00:00,site_001,51.41,0.0,36.43,45.0,14.98,0.0,0.0,0.0
2026-01-07T12:00:00+00:00,site_001,51.45,4.55,38.27,62.7,17.73,0.0,0.0,0.0
2026-01-07T13:00:00+00:00,site_001,50.2,3.43,36.07,80.3,17.56,0.0,0.0,0.0
2026-01-07T14:00:00+00:00,site_001,45.12,8.77,38.98,95.2,14.91,0.0,0.0,0.0
2026-01-07T15:00:00+00:00,site_001,33.62,1.79,37.58,93.0,0.0,2.17,0.0,0.0
2026-01-07T16:00:00+00:00,site_001,27.25,5.85,39.09,87.0,0.0,5.99,0.0,0.0
2026-01-07T17:00:00+00:00,site_001,14.56,11.04,52.62,67.0,0.0,20.0,7.02,0.0
2026-01-07T18:00:00+00:00,site_001,0.0,6.49,52.72,47.0,0.0,20.0,26.23,0.0
2026-01-07T19:00:00+00:00,site_001,0.0,12.94,55.75,27.0,0.0,20.0,22.81,0.0
2026-01-07T20:00:00+00:00,site_001,0.0,10.73,53.57,10.0,0.0,17.0,25.84,0.0
2026-01-07T21:00:00+00:00,site_001,0.0,17.85,52.47,10.0,0.0,0.0,34.62,0.0
2026-01-07T22:00:00+00:00,site_001,0.0,19.71,25.47,10.0,0.0,0.0,5.76,0.0
2026-01-07T23:00:00+00:00,site_001,0.0,15.93,26.28,10.0,0.0,0.0,10.35,0.0
2026-01-08T00:00:00+00:00,site_001,0.0,13.81,26.75,10.0,0.0,0.0,12.94,0.0
2026-01-08T01:00:00+00:00,site_001,0.0,21.19,23.53,10.0,0.0,0.0,2.34,0.0
2026-01-08T02:00:00+00:00,site_001,0.0,17.0,23.88,10.0,0.0,0.0,6.88,0.0
2026-01-08T03:00:00+00:00,site_001,0.0,21.13,25.59,10.0,0.0,0.0,4.46,0.0
2026-01-08T04:00:00+00:00,site_001,0.0,10.5,24.25,10.0,0.0,0.0,13.75,0.0
2026-01-08T05:00:00+00:00,site_001,0.0,16.67,25.28,10.0,0.0,0.0,8.61,0.0
